Date,Close,High,Low,Open
7-6-2023,248.55,251.10,248.55,251.08
6-30-2023,251.63,253.07,250.85,253.07
5-31-2023,252.56,256.41,249.44,252.91
4-30-2023,255.24,256.66,252.59,254.70
3-31-2023,253.71,254.87,245.16,245.96
2-28-2023,247.37,255.74,246.75,255.50
1-31-2023,253.78,255.21,247.20,247.20
12-31-2022,246.51,252.33,246.07,249.95
11-30-2022,247.62,247.62,237.32,239.34
10-31-2022,238.91,244.62,235.75,243.95
9-30-2022,242.04,252.44,240.36,251.24
8-31-2022,253.24,261.06,253.24,261.06
7-31-2022,260.45,260.45,252.84,255.23
6-30-2022,254.31,257.15,247.44,256.82
5-31-2022,257.90,259.04,253.31,254.66
4-30-2022,256.54,265.65,256.18,265.65
3-31-2022,266.31,275.66,263.48,275.66
2-28-2022,273.82,277.64,271.47,277.07
1-31-2022,277.36,281.35,276.76,281.35
12-31-2021,283.31,285.19,282.47,284.05
11-30-2021,284.13,285.46,281.21,282.91
10-31-2021,283.23,284.10,281.44,284.10
9-30-2021,283.23,286.81,283.19,285.85
8-31-2021,285.85,286.98,284.38,286.98
7-31-2021,286.26,286.61,282.94,282.94
6-30-2021,283.38,283.38,280.69,280.87
5-31-2021,281.21,281.47,279.32,280.71
4-30-2021,280.47,281.54,278.85,279.16
3-31-2021,278.18,281.47,277.63,281.05
2-28-2021,280.92,285.92,279.90,285.92
1-31-2021,285.80,287.81,284.92,287.81
12-31-2020,287.93,287.93,286.19,286.45
11-30-2020,287.57,287.57,284.63,284.84
10-31-2020,284.84,286.30,284.82,286.04
9-30-2020,286.03,287.58,285.96,286.63
8-31-2020,286.15,288.84,285.34,288.06
7-31-2020,288.38,288.38,284.14,284.14
6-30-2020,284.23,284.31,281.15,282.38
5-31-2020,282.59,282.59,279.13,280.75
4-30-2020,281.01,281.01,276.68,276.80
3-31-2020,276.43,283.38,266.42,278.01
2-29-2020,277.61,277.61,271.49,272.91
1-31-2020,272.88,272.88,268.07,268.24
12-31-2019,267.85,268.77,267.05,267.18
11-30-2019,267.98,268.31,265.48,267.75
10-31-2019,268.12,269.36,265.99,267.80
9-30-2019,267.38,269.50,264.13,268.82
8-31-2019,268.84,269.08,263.76,263.76
7-31-2019,262.14,262.31,260.43,261.16
6-30-2019,261.48,261.48,258.45,258.97
5-31-2019,258.15,258.15,253.33,253.87
4-30-2019,253.78,253.80,252.39,252.82
3-31-2019,253.74,254.14,248.56,248.56
2-28-2019,249.03,249.81,248.26,248.50
1-31-2019,249.08,249.08,246.48,246.88
12-31-2018,246.54,246.54,242.53,242.53
11-30-2018,242.09,242.09,239.97,240.86
10-31-2018,240.67,242.61,240.28,242.30
9-30-2018,242.56,244.10,241.67,244.10
8-31-2018,244.05,244.37,242.10,242.10
7-31-2018,242.54,243.45,242.02,242.24
6-30-2018,242.44,242.57,240.87,241.84
5-31-2018,242.68,243.41,239.22,240.48
4-30-2018,241.01,242.81,239.82,242.81
3-31-2018,242.70,242.70,240.78,241.85
2-28-2018,241.19,242.79,240.34,242.79
1-31-2018,243.43,245.83,243.29,245.58
12-31-2017,246.22,246.48,244.82,245.81
11-30-2017,245.14,246.26,244.93,245.49
10-31-2017,245.52,246.19,244.47,245.39
9-30-2017,245.39,247.30,245.25,246.13
8-31-2017,246.55,246.55,244.67,244.98
7-31-2017,244.44,244.94,242.54,242.97
6-30-2017,243.41,244.96,243.41,243.49
5-31-2017,243.70,243.70,240.84,241.36
4-30-2017,241.85,242.87,240.41,240.68
3-31-2017,240.07,240.21,237.05,238.86
2-28-2017,240.16,240.61,238.25,238.31
1-31-2017,238.59,239.69,237.67,238.05
12-31-2016,238.13,238.30,235.70,237.01
11-30-2016,237.83,243.82,237.47,243.61
10-31-2016,243.45,245.21,243.27,245.21
9-30-2016,245.32,245.86,243.60,245.39
8-31-2016,245.42,245.60,244.53,245.27
7-31-2016,245.68,246.07,244.29,244.71
